[soak] t_ms=215111 frame=26368 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=2 rc=0 rc+0 mps=120.7 bps=204955 rtt=1 lag=1 last=5 pm=17060 pr=17060 pb=30312392 w[t=256 ob=0/0 st=64 hm=128 vp=10 c=22]
[soak] t_ms=220111 frame=26968 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=1 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=45.0 bps=66318 rtt=1 lag=1 last=0 pm=17299 pr=17299 pb=30707306 w[t=256 ob=0/0 st=64 hm=128 vp=11 c=22]
[soak] t_ms=225111 frame=27568 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=170.6 bps=185232 rtt=1 lag=1 last=3 pm=17730 pr=17730 pb=31337340 w[t=256 ob=0/0 st=64 hm=128 vp=12 c=22]
[soak] t_ms=230111 frame=28168 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=1 qmax=1 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=145.6 bps=217159 rtt=1 lag=0 last=7 pm=18286 pr=18286 pb=32206541 w[t=256 ob=0/0 st=64 hm=128 vp=12 c=22]
[soak] t_ms=235111 frame=28768 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=50.0 bps=126410 rtt=1 lag=3 last=9 pm=18590 pr=18590 pb=32867939 w[t=256 ob=0/0 st=64 hm=128 vp=12 c=23]
[soak] t_ms=240111 frame=29368 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=33.0 bps=97349 rtt=1 lag=1 last=6 pm=18987 pr=18987 pb=33628916 w[t=256 ob=0/0 st=64 hm=128 vp=14 c=23]
[soak] t_ms=245111 frame=29968 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=2 rc=0 rc+0 mps=41.7 bps=64951 rtt=1 lag=1 last=5 pm=19443 pr=19443 pb=34473801 w[t=256 ob=0/0 st=64 hm=128 vp=14 c=23]
[soak] t_ms=250111 frame=30568 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=51.5 bps=67085 rtt=1 lag=1 last=29 pm=19718 pr=19718 pb=34929648 w[t=256 ob=0/0 st=64 hm=128 vp=7 c=23]
[soak] t_ms=255114 frame=31169 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=72.4 bps=130807 rtt=1 lag=2 last=18 pm=20058 pr=20058 pb=35466744 w[t=256 ob=0/0 st=64 hm=128 vp=10 c=23]
[soak] t_ms=260128 frame=31770 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=62.7 bps=131942 rtt=1 lag=7 last=11 pm=20819 pr=20819 pb=36558609 w[t=256 ob=0/0 st=64 hm=128 vp=12 c=23]
